English	QUICK SETUP	PLAYER LABELS	PINGS	ITEM PINGS	CAMPFIRE	COMPASS	GENERAL	HOVER A SETTING FOR ITS DESCRIPTION	LOADING...	CLOSE	CHANGES SAVE INSTANTLY	PRESS A KEY...	DEFAULT:	Luggage
French	CONFIGURATION RAPIDE	LABELS JOUEURS	PINGS	PINGS D'OBJETS	FEU DE CAMP	BOUSSOLE	GÉNÉRAL	SURVOLEZ UN PARAMÈTRE POUR VOIR SA DESCRIPTION	CHARGEMENT...	FERMER	LES MODIFICATIONS SONT ENREGISTRÉES INSTANTANÉMENT	APPUYEZ SUR UNE TOUCHE...	PAR DÉFAUT :	Bagage
Italian	CONFIGURAZIONE RAPIDA	ETICHETTE GIOCATORI	PING	PING OGGETTI	FALÒ	BUSSOLA	GENERALE	PASSA IL MOUSE SU UN'IMPOSTAZIONE PER LA SUA DESCRIZIONE	CARICAMENTO...	CHIUDI	LE MODIFICHE VENGONO SALVATE ISTANTANEAMENTE	PREMI UN TASTO...	PREDEFINITO:	Bagaglio
German	SCHNELLEINRICHTUNG	SPIELERNAMEN	PINGS	GEGENSTANDS-PINGS	LAGERFEUER	KOMPASS	ALLGEMEIN	BEWEGE DEN MAUSZEIGER ÜBER EINE EINSTELLUNG FÜR IHRE BESCHREIBUNG	WIRD GELADEN...	SCHLIESSEN	ÄNDERUNGEN WERDEN SOFORT GESPEICHERT	DRÜCKE EINE TASTE...	STANDARD:	Gepäck
SpanishSpain	CONFIGURACIÓN RÁPIDA	ETIQUETAS DE JUGADOR	PINGS	PINGS DE OBJETOS	HOGUERA	BRÚJULA	GENERAL	PASA EL CURSOR SOBRE UN AJUSTE PARA VER SU DESCRIPCIÓN	CARGANDO...	CERRAR	LOS CAMBIOS SE GUARDAN AL INSTANTE	PULSA UNA TECLA...	PREDETERMINADO:	Equipaje
SpanishLatam	CONFIGURACIÓN RÁPIDA	ETIQUETAS DE JUGADOR	PINGS	PINGS DE OBJETOS	HOGUERA	BRÚJULA	GENERAL	PASA EL CURSOR SOBRE UN AJUSTE PARA VER SU DESCRIPCIÓN	CARGANDO...	CERRAR	LOS CAMBIOS SE GUARDAN AL INSTANTE	PULSA UNA TECLA...	PREDETERMINADO:	Equipaje
BRPortuguese	CONFIGURAÇÃO RÁPIDA	RÓTULOS DE JOGADOR	PINGS	PINGS DE ITENS	FOGUEIRA	BÚSSOLA	GERAL	PASSE O MOUSE SOBRE UMA CONFIGURAÇÃO PARA VER SUA DESCRIÇÃO	CARREGANDO...	FECHAR	AS ALTERAÇÕES SÃO SALVAS INSTANTANEAMENTE	PRESSIONE UMA TECLA...	PADRÃO:	Bagagem
Russian	БЫСТРАЯ НАСТРОЙКА	МЕТКИ ИГРОКОВ	ПИНГИ	ПИНГИ ПРЕДМЕТОВ	КОСТЁР	КОМПАС	ОБЩИЕ	НАВЕДИТЕ КУРСОР НА НАСТРОЙКУ, ЧТОБЫ УВИДЕТЬ ОПИСАНИЕ	ЗАГРУЗКА...	ЗАКРЫТЬ	ИЗМЕНЕНИЯ СОХРАНЯЮТСЯ МГНОВЕННО	НАЖМИТЕ КЛАВИШУ...	ПО УМОЛЧАНИЮ:	Багаж
Ukrainian	ШВИДКЕ НАЛАШТУВАННЯ	МІТКИ ГРАВЦІВ	ПІНГИ	ПІНГИ ПРЕДМЕТІВ	БАГАТТЯ	КОМПАС	ЗАГАЛЬНІ	НАВЕДІТЬ КУРСОР НА НАЛАШТУВАННЯ, ЩОБ ПОБАЧИТИ ОПИС	ЗАВАНТАЖЕННЯ...	ЗАКРИТИ	ЗМІНИ ЗБЕРІГАЮТЬСЯ МИТТЄВО	НАТИСНІТЬ КЛАВІШУ...	ЗА ЗАМОВЧУВАННЯМ:	Багаж
SimplifiedChinese	快速设置	玩家标签	呼喊	物品呼喊	篝火	指南针	通用	将鼠标悬停在设置上以查看说明	加载中...	关闭	更改会立即保存	按下一个按键...	默认值：	行李
TraditionalChinese	快速設定	玩家標籤	呼喊	物品呼喊	營火	指南針	通用	將滑鼠懸停在設定上以查看說明	載入中...	關閉	變更會立即儲存	按下一個按鍵...	預設值：	行李
Japanese	クイックセットアップ	プレイヤーラベル	ピン	アイテムピン	焚き火	コンパス	全般	設定にカーソルを合わせると説明が表示されます	読み込み中...	閉じる	変更は即座に保存されます	キーを押してください...	デフォルト：	荷物
Korean	빠른 설정	플레이어 라벨	핑	아이템 핑	모닥불	나침반	일반	설정에 마우스를 올리면 설명이 표시됩니다	로딩 중...	닫기	변경 사항은 즉시 저장됩니다	키를 누르세요...	기본값:	짐
Polish	SZYBKA KONFIGURACJA	ETYKIETY GRACZY	PINGI	PINGI PRZEDMIOTÓW	OGNISKO	KOMPAS	OGÓLNE	NAJEDŹ NA USTAWIENIE, ABY ZOBACZYĆ JEGO OPIS	WCZYTYWANIE...	ZAMKNIJ	ZMIANY ZAPISYWANE SĄ NATYCHMIAST	NACIŚNIJ KLAWISZ...	DOMYŚLNIE:	Bagaż
Turkish	HIZLI KURULUM	OYUNCU ETİKETLERİ	PİNGLER	EŞYA PİNGLERİ	KAMP ATEŞİ	PUSULA	GENEL	AÇIKLAMASINI GÖRMEK İÇİN BİR AYARIN ÜZERİNE GELİN	YÜKLENİYOR...	KAPAT	DEĞİŞİKLİKLER ANINDA KAYDEDİLİR	BİR TUŞA BASIN...	VARSAYILAN:	Bagaj
